project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.544949805000217,6.997175406272671e-05,6.060810592040977e-06,22.5,0.0,10.0,7.215453883749773e-05,0.0,3.206485418610959e-05,0.0001042193930236,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.923735884999587,9.045047679806016e-05,6.0608467943322e-06,22.5,0.0,10.0,9.3271678118748e-05,0.0,4.144973792777667e-05,0.0001347214160465,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,14.935802392999904,9.052337232348677e-05,6.060830877483566e-06,22.5,0.0,10.0,9.3347056543746e-05,0.0,4.1482933705553176e-05,0.0001348299902492,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.559003475999816,0.0001003612309522,6.060825525984976e-06,22.5,0.0,10.0,0.0001034918044187,0.0,4.599117929444169e-05,0.0001494829837131,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,16.581895051000174,0.0001004996530323,6.060806242181492e-06,22.5,0.0,10.0,0.0001036348086312,0.0,4.605434777777696e-05,0.000149689156409,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,18.98320043900003,0.0001150531969676,6.060790293887268e-06,22.5,0.0,10.0,0.0001186421507,0.0,5.2723774222221845e-05,0.0001713659249222,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,18.99530028499976,0.0001151268199807,6.0608054757468045e-06,22.5,0.0,10.0,0.0001187182980312,0.0,5.2757284649998034e-05,0.0001714755826812,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.034055813000123,0.0001396059126387,6.060848066539802e-06,22.5,0.0,10.0,0.0001439603571375,0.0,6.397559748610952e-05,0.0002079359546236,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,23.047168870999485,0.0001396851186743,6.060836342035616e-06,22.5,0.0,10.0,0.0001440422294625,0.0,6.401169854999959e-05,0.0002080539280125,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,25.383159338999576,0.0001538434240217,6.060846168403022e-06,22.5,0.0,10.0,0.0001586419701812,0.0,7.050003843333394e-05,0.0002291420086145,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.014993963999583,0.0001819173557847,6.06088263762272e-06,22.5,0.0,10.0,0.0001875908431562,0.0,8.33658686527795e-05,0.000270956711809,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.318218872000216,0.0001837548457721,6.060872063359038e-06,22.5,0.0,10.0,0.0001894858503375,0.0,8.420770998611211e-05,0.0002736935603236,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.32574264499999,0.0001837999331162,6.0608551377581725e-06,22.5,0.0,10.0,0.0001895327905312,0.0,8.422792511389112e-05,0.0002737607156451,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.621155318999627,0.000185589430635,6.060823920639895e-06,22.5,0.0,10.0,0.0001913783662937,0.0,8.50477155083354e-05,0.000276426081802,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,30.63068969699998,0.0001856475113033,6.060833534595428e-06,22.5,0.0,10.0,0.0001914384432375,0.0,8.507414678611239e-05,0.0002765125900236,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.0840135389999,0.0002126388750274,6.060848049527e-06,22.5,0.0,10.0,0.0002192713119437,0.0,9.74435508666678e-05,0.0003167148628104,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.09264383600021,0.000212690636084,6.060832494640885e-06,22.5,0.0,10.0,0.0002193251517812,0.0,9.746680650833546e-05,0.0003167919582895,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.1422009529997,0.0002372351610579,6.06085389380234e-06,22.5,0.0,10.0,0.000244634736175,0.0,0.0001087150521861,0.0003533497883611,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,39.15434425999956,0.0002373083864778,6.060844357449636e-06,22.5,0.0,10.0,0.0002447104409,0.0,0.000108748413025,0.000353458853925,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
codamosa_targetedgen_preprocessing,4b354824-1fa9-4b21-84ab-dda4707e827c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,42.49184157599939,0.0002575367450762,6.060851578193624e-06,22.5,0.0,10.0,0.0002655694636437,0.0,0.0001180185085694,0.0003835879722132,0.0,Azerbaijan,AZE,baku city,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.31,3.10.2,3.2.6,20,12th Gen Intel(R) Core(TM) i7-12700H,0,,49.8875,40.3771,7.592945098876953,machine,0.0,0,0.0,0.0,N,1.0,0.0
